[2025-06-20 10:03:13.603050] Step: 0       Loss: 0.0361304035    ELBO: -10.8289344617   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:13.758405] Step: 1       Loss: -0.0395701441    ELBO: -10.7780820890   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:13.907108] Step: 2       Loss: -0.0936796823    ELBO: -10.8095248072   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.057136] Step: 3       Loss: -0.1175614507    ELBO: -10.7567145974   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.201264] Step: 4       Loss: -0.0750290014    ELBO: -10.6559969328   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.345551] Step: 5       Loss: -0.1004015641    ELBO: -10.6887987787   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.494919] Step: 6       Loss: -0.0758957642    ELBO: -10.6608900319   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.643081] Step: 7       Loss: -0.0580333508    ELBO: -10.6418372433   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.787243] Step: 8       Loss: -0.0239914001    ELBO: -10.6194385476   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:14.934180] Step: 9       Loss: -0.0281191996    ELBO: -10.6264848464   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:15.082122] Step: 10      Loss: -0.0386128102    ELBO: -10.6372629228   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:15.227825] Step: 11      Loss: -0.0271835395    ELBO: -10.6345801138   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:15.376741] Step: 12      Loss: -0.0315927957    ELBO: -10.6399808451   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:15.518503] Step: 13      Loss: -0.0061012737    ELBO: -10.6274478127   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:03:15.659954] Step: 14      Loss: -0.0101660408    ELBO: -10.6309359307   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
