[2025-06-20 10:01:55.796198] Step: 0       Loss: -0.0272264943    ELBO: -10.8869249749   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.016786] Step: 1       Loss: -0.0653453992    ELBO: -10.7642335094   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.197212] Step: 2       Loss: -0.0933173636    ELBO: -10.7691494811   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.361034] Step: 3       Loss: -0.0830476610    ELBO: -10.6750241933   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.617440] Step: 4       Loss: -0.1192890610    ELBO: -10.7386643511   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.777778] Step: 5       Loss: -0.0742504192    ELBO: -10.6438921223   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:56.942902] Step: 6       Loss: -0.0804110447    ELBO: -10.6709334302   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.104575] Step: 7       Loss: -0.0682428332    ELBO: -10.6563032094   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.259650] Step: 8       Loss: -0.0617337051    ELBO: -10.6474901850   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.420218] Step: 9       Loss: -0.0271953207    ELBO: -10.6265979663   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.583094] Step: 10      Loss: -0.0285445271    ELBO: -10.6326203376   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.737284] Step: 11      Loss: -0.0127834970    ELBO: -10.6229711129   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:57.890792] Step: 12      Loss: -0.0213236955    ELBO: -10.6311130624   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.044910] Step: 13      Loss: -0.0121793086    ELBO: -10.6258954767   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.194372] Step: 14      Loss: -0.0156705265    ELBO: -10.6323190696   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.339669] Step: 15      Loss: -0.0087140150    ELBO: -10.6299709066   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.484409] Step: 16      Loss: -0.0020362462    ELBO: -10.6275072652   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.629123] Step: 17      Loss: -0.0050491530    ELBO: -10.6309338119   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.778679] Step: 18      Loss: -0.0009449325    ELBO: -10.6248410080   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:58.932508] Step: 19      Loss: -0.0023331713    ELBO: -10.6323349680   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.074015] Step: 20      Loss: -0.0004618275    ELBO: -10.6325107610   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.217039] Step: 21      Loss: -0.0020881088    ELBO: -10.6303824353   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.358003] Step: 22      Loss: 0.0000680653    ELBO: -10.6284305821   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.501207] Step: 23      Loss: -0.0017592910    ELBO: -10.6313599328   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.645483] Step: 24      Loss: 0.0001294871    ELBO: -10.6305452630   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.788932] Step: 25      Loss: -0.0018276073    ELBO: -10.6273267378   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:01:59.934290] Step: 26      Loss: 0.0009815826    ELBO: -10.6310994734   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.083353] Step: 27      Loss: -0.0009000687    ELBO: -10.6300288723   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.231104] Step: 28      Loss: 0.0015010178    ELBO: -10.6316116818   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.377999] Step: 29      Loss: -0.0007914721    ELBO: -10.6299491635   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.520867] Step: 30      Loss: -0.0000244490    ELBO: -10.6299514206   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.665893] Step: 31      Loss: -0.0000823622    ELBO: -10.6300782450   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:00.810945] Step: 32      Loss: -0.0000758632    ELBO: -10.6300900655   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
