[2025-06-20 10:05:46.481980] Step: 0       Loss: 0.0048527286    ELBO: -10.8991206671   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:46.639625] Step: 1       Loss: -0.0554964187    ELBO: -10.8053814344   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:46.793098] Step: 2       Loss: -0.0621608803    ELBO: -10.6985857791   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:46.939129] Step: 3       Loss: -0.0647569806    ELBO: -10.6571462775   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.086193] Step: 4       Loss: -0.0762531200    ELBO: -10.6551231037   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.239258] Step: 5       Loss: -0.0609826251    ELBO: -10.6382049174   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.395054] Step: 6       Loss: -0.0974538834    ELBO: -10.6865633905   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.551116] Step: 7       Loss: -0.0703068533    ELBO: -10.6355112242   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.708300] Step: 8       Loss: -0.0961484871    ELBO: -10.6774084972   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:47.877917] Step: 9       Loss: -0.0202926512    ELBO: -10.6154805763   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.035088] Step: 10      Loss: -0.0567490107    ELBO: -10.6473432964   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.178607] Step: 11      Loss: -0.0196534686    ELBO: -10.6240079308   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.323371] Step: 12      Loss: -0.0171091842    ELBO: -10.6257817840   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.468203] Step: 13      Loss: -0.0188246515    ELBO: -10.6292823372   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.613031] Step: 14      Loss: -0.0216157667    ELBO: -10.6327735982   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.756772] Step: 15      Loss: -0.0137671349    ELBO: -10.6311182122   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:48.898000] Step: 16      Loss: -0.0054279001    ELBO: -10.6276484327   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.038406] Step: 17      Loss: -0.0044732696    ELBO: -10.6281917622   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.181082] Step: 18      Loss: -0.0039826635    ELBO: -10.6283720243   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.323072] Step: 19      Loss: -0.0020367267    ELBO: -10.6281900957   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.464580] Step: 20      Loss: -0.0030368386    ELBO: -10.6287303548   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.605676] Step: 21      Loss: -0.0027774092    ELBO: -10.6294951461   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.752639] Step: 22      Loss: -0.0047169296    ELBO: -10.6332120436   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:49.906507] Step: 23      Loss: -0.0002803852    ELBO: -10.6300535468   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:05:50.055958] Step: 24      Loss: -0.0013886094    ELBO: -10.6336693960   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
